Problem,Prefix_Equation,Answer,Encoded
"If there are 41 short plants and 44 tall plants in the park, and park workers are planting 57 short plants today, how many short plants will the park have when the workers are finished?",+ 41 57,98.0,"[1, 4, 628, 776, 2]"
Park workers will plant 57 tiny trees today. The park currently has 41 tiny trees and 44 giant trees. How many tiny trees will the park have when the workers are finished?,+ 41 57,98.0,"[1, 4, 628, 776, 2]"
"If there are 41 short shrubs and 44 tall shrubs in the park, and park workers are planting 57 short shrubs today, how many short shrubs will the park have when the workers are finished?",+ 41 57,98.0,"[1, 4, 628, 776, 2]"
Park workers will plant 57 small saplings today. The park currently has 41 small saplings and 44 large saplings. How many small saplings will the park have when the workers are finished?,+ 41 57,98.0,"[1, 4, 628, 776, 2]"
"If there are 41 short plants and 44 tall plants in the park, and park workers are planting 57 short plants today, how many short plants will the park have when the workers are finished?",+ 41 57,98.0,"[1, 4, 628, 776, 2]"
Park workers will plant 57 tiny saplings today. The park currently has 41 tiny saplings and 44 giant saplings. How many tiny saplings will the park have when the workers are finished?,+ 41 57,98.0,"[1, 4, 628, 776, 2]"
"If there are 41 short bushes and 44 tall bushes in the park, and park workers are planting 57 short bushes today, how many short bushes will the park have when the workers are finished?",+ 41 57,98.0,"[1, 4, 628, 776, 2]"
Park workers will plant 57 small trees today. The park currently has 41 small trees and 44 large trees. How many small trees will the park have when the workers are finished?,+ 41 57,98.0,"[1, 4, 628, 776, 2]"
"If there are 41 short plants and 44 tall plants in the park, and park workers are planting 57 short plants today, how many short plants will the park have when the workers are finished?",+ 41 57,98.0,"[1, 4, 628, 776, 2]"
How many short trees will the park have when the workers are finished planting 57 short trees today if the park currently has 41 short trees and 44 tall trees?,+ 41 57,98.0,"[1, 4, 628, 776, 2]"
"If there are 41 short plants and 44 tall plants in the park, and park workers are planting 57 short plants today, how many short plants will the park have when the workers are finished?",+ 41 57,98.0,"[1, 4, 628, 776, 2]"
Park workers will plant 57 tiny trees today. The park currently has 41 tiny trees and 44 giant trees. How many tiny trees will the park have when the workers are finished?,+ 41 57,98.0,"[1, 4, 628, 776, 2]"
"If there are 41 short shrubs and 44 tall shrubs in the park, and park workers are planting 57 short shrubs today, how many short shrubs will the park have when the workers are finished?",+ 41 57,98.0,"[1, 4, 628, 776, 2]"
Park workers will plant 57 small saplings today. The park currently has 41 small saplings and 44 large saplings. How many small saplings will the park have when the workers are finished?,+ 41 57,98.0,"[1, 4, 628, 776, 2]"
There are 34 dogwood trees currently in the park . Park workers will plant 49 dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,+ 34 49,83.0,"[1, 4, 531, 692, 2]"
"Currently, there are 34 oak trees in the park. Today, park workers will plant 49 oak trees. When the workers are finished, how many oak trees will the park have in total?",+ 34 49,83.0,"[1, 4, 531, 692, 2]"
There are currently 34 cherry blossom trees in the park. The park workers will plant 49 cherry blossom trees today. How many cherry blossom trees will the park have after the workers finish planting them?,+ 34 49,83.0,"[1, 4, 531, 692, 2]"
"There are a total of 34 maple trees in the park at present. The park workers are going to plant 49 maple trees today. When the workers are done, how many maple trees will there be in the park?",+ 34 49,83.0,"[1, 4, 531, 692, 2]"
"At the moment, there are 34 elm trees in the park. Park workers will plant 49 elm trees today. How many elm trees will the park have when the workers are finished planting them?",+ 34 49,83.0,"[1, 4, 531, 692, 2]"
"Currently, the park has 34 willow trees. Park workers will plant 49 willow trees today. How many willow trees will the park have after the workers finish planting them?",+ 34 49,83.0,"[1, 4, 531, 692, 2]"
"How many dogwood trees will the park have when the workers are finished planting 49 more trees, given that there are currently 34 dogwood trees in the park?",+ 34 49,83.0,"[1, 4, 531, 692, 2]"
"If the park workers plant 49 dogwood trees today and there are already 34 dogwood trees in the park, how many dogwood trees will the park have in total when the workers are finished?",+ 34 49,83.0,"[1, 4, 531, 692, 2]"
"Given that there are currently 34 dogwood trees in the park and the park workers will plant 49 more today, how many dogwood trees will the park have in total when the workers are finished?",+ 34 49,83.0,"[1, 4, 531, 692, 2]"
"There are 34 dogwood trees currently in the park, and the park's area is 12 acres. Park workers will plant 49 dogwood trees today, and the park has a perimeter of 36 feet. How many dogwood trees will the park have when the workers are finished?",+ 34 49,83.0,"[1, 4, 531, 692, 2]"
"There are 34 dogwood trees currently in the park, and the park has 3 restrooms. The park workers will plant 49 dogwood trees today, and the park has a gift shop that sells souvenirs. How many dogwood trees will the park have when the workers are finished?",+ 34 49,83.0,"[1, 4, 531, 692, 2]"
"There are 34 dogwood trees currently in the park, and the park's picnic area can seat 200 people. The park workers will plant 49 dogwood trees today, and the park has a playground with 5 pieces of equipment. How many dogwood trees will the park have when the workers are finished?",+ 34 49,83.0,"[1, 4, 531, 692, 2]"
"There are 34 dogwood trees currently in the park, and the park's nature trail is 2 miles long. The park workers will plant 49 dogwood trees today, and the park has a pond with a depth of 10 feet. How many dogwood trees will the park have when the workers are finished?",+ 34 49,83.0,"[1, 4, 531, 692, 2]"
There are 34 dogwood trees in the park right now. The park workers will plant 49 additional dogwood trees today. How many dogwood trees will the park have in total when they're finished planting them?,+ 34 49,83.0,"[1, 4, 531, 692, 2]"
"What will be the total number of dogwood trees in the park when the workers are finished planting 49 more trees, given that there are currently 34 dogwood trees in the park?",+ 34 49,83.0,"[1, 4, 531, 692, 2]"
The park currently has 34 dogwood trees. The workers will plant 49 more dogwood trees today. How many dogwood trees will the park have?,+ 34 49,83.0,"[1, 4, 531, 692, 2]"
The park will have 83 dogwood trees when the workers are finished planting. Given that there 34 dogwood trees are already in the park and how many will the workers plant today?,- 83 34,49.0,"[1, 5, 970, 531, 2]"
Maggi had 3 packages of cupcakes . There are 4 cupcakes in each package . She ate 5 cupcakes . How many are left ?,- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
Maggi had 3 bags of muffins. There are 4 muffins in each bag. She ate 5 muffins. How many are left?,- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
Maggi had 3 boxes of cookies. There are 4 cookies in each box. She ate 5 cookies. How many are left?,- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
Maggi had 3 containers of brownies. There are 4 brownies in each container. She ate 5 brownies. How many are left?,- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
Maggi had 3 packs of scones. There are 4 scones in each pack. She ate 5 scones. How many are left?,- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
Maggi had 3 tins of donuts. There are 4 donuts in each tin. She ate 5 donuts. How many are left?,- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
"How many cupcakes does Maggi have left after eating 5, given that she had 3 packages of cupcakes with 4 cupcakes in each package?",- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
"If Maggi had 3 packages of cupcakes with 4 cupcakes in each package, and she ate 5 cupcakes, how many cupcakes does she have left?",- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
"Maggi had 3 packages of cupcakes with 4 cupcakes in each package. After eating 5 cupcakes, how many cupcakes does she have left?",- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
Maggi ate 5 cupcakes. She had 3 packages of cupcakes with 4 cupcakes in each package. How many cupcakes does she have left?,- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
"Maggi had 3 packages of cupcakes, each with 4 cupcakes. After eating 5 cupcakes, how many cupcakes does she have left?",- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
"Maggi had 3 packages of cupcakes, which she bought at a store that was exactly 17.5 miles away from her house. There are 4 cupcakes in each package. She ate 5 cupcakes, which she washed down with a glass of milk that had a temperature of exactly 72 degrees Fahrenheit. How many cupcakes does she have left?",- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
"Maggi had 3 packages of cupcakes, which she received as a gift from her aunt on her birthday. There are 4 cupcakes in each package. She ate 5 cupcakes, which she shared with her best friend who is exactly 5 feet and 3 inches tall. How many cupcakes does she have left?",- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
"Maggi had 3 packages of cupcakes, which she purchased from a bakery that has been in business for exactly 107 years. There are 4 cupcakes in each package. She ate 5 cupcakes, which she enjoyed while watching a movie that was exactly 2 hours and 35 minutes long. How many cupcakes does she have left?",- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
"Maggi had 3 packages of cupcakes, which she received as a thank-you gift from a colleague who has exactly 47 email messages in her inbox. There are 4 cupcakes in each package. She ate 5 cupcakes, which she savored while listening to music on her headphones, which have a maximum volume of exactly 105 decibels. How many cupcakes does she have left?",- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
"Maggi had 3 packages of cupcakes, which she bought from a farmer's market that has exactly 12 stalls. There are 4 cupcakes in each package. She ate 5 cupcakes, which she enjoyed while sitting on a park bench that has been painted exactly 3 times. How many cupcakes does she have left?",- * 3.0 4.0 5.0,7.0,"[1, 5, 3, 475, 601, 700, 2]"
"Maggi has 7 cupcakes left. She initially had 3 packages of cupcakes, with 4 cupcakes in each package. How many cupcakes did she eat?",+ * 3.0 4.0 7.0,5.0,"[1, 4, 3, 475, 601, 876, 2]"
"You deposit 70 dollars in a savings account that pays an annual interest rate of 3 % . How much simple interest would you earn in 2.5 years , in dollars ?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"You deposit 70 euros in a savings account that pays an annual interest rate of 3%. How much simple interest would you earn in 2.5 years, in euros?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"You deposit 70 pounds in a savings account that pays an annual interest rate of 3%. How much simple interest would you earn in 2.5 years, in pounds?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"You deposit 70 yen in a savings account that pays an annual interest rate of 3%. How much simple interest would you earn in 2.5 years, in yen?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"You deposit 70 yuan in a savings account that pays an annual interest rate of 3%. How much simple interest would you earn in 2.5 years, in yuan?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"You deposit 70 won in a savings account that pays an annual interest rate of 3%. How much simple interest would you earn in 2.5 years, in won?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"In 2.5 years, how much simple interest would you earn in dollars, given that you deposited 70 dollars in a savings account with an annual interest rate of 3%?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"If you deposited 70 dollars in a savings account with an annual interest rate of 3%, how much simple interest would you earn in 2.5 years, in dollars?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"You deposited 70 dollars in a savings account with an annual interest rate of 3%. In 2.5 years, how much simple interest would you earn, in dollars?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"How much simple interest, in dollars, would you earn in 2.5 years if you deposited 70 dollars in a savings account with an annual interest rate of 3%?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"You deposited 70 dollars in a savings account with an annual interest rate of 3%. How much simple interest, in dollars, would you earn in 2.5 years?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"What is the starting amount, in dollars, that earns 5.25 dollars in simple interest at a 3% annual rate over 2.5 years?",/ 5.25 * * 2.5 3.0 0.01,70.0,"[1, 6, 708, 3, 3, 317, 475, 8, 2]"
"How much money, in dollars, did you initially deposit in a savings account that pays 3% annually if you earn 5.25 dollars in simple interest over 2.5 years?",/ 5.25 * * 2.5 3.0 0.01,70.0,"[1, 6, 708, 3, 3, 317, 475, 8, 2]"
"What is the principal amount, in dollars, of a deposit that earns 5.25 dollars in simple interest at a 3% annual rate over 2.5 years?",/ 5.25 * * 2.5 3.0 0.01,70.0,"[1, 6, 708, 3, 3, 317, 475, 8, 2]"
"In dollars, how much simple interest would you earn in 2.5 years if you deposited 70 dollars in a savings account that pays an annual interest rate of 3%?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"On a 70 dollar deposit in a savings account with a 3% annual interest rate, how much simple interest, in dollars, would you earn in 2.5 years?",* * * 70.0 2.5 3.0 0.01,5.25,"[1, 3, 3, 3, 887, 317, 475, 8, 2]"
"If you earn 5.25 dollars in simple interest on a deposit at an annual interest rate of 3% for 2.5 years, what is the initial amount deposited in dollars?",/ 5.25 * * 2.5 3.0 0.01,70.0,"[1, 6, 708, 3, 3, 317, 475, 8, 2]"
Emily collects 63 cards . Emily 's father gives Emily 7 more . Bruce has 13 apples . How many cards does Emily have ?,+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
Samantha collects 63 cards. Samantha's father gives Samantha 7 more. Jerry has 13 apples. How many cards does Samantha have?,+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
Ben collects 63 cards. Ben's father gives Ben 7 more. Sarah has 13 apples. How many cards does Ben have?,+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
Julia collects 63 cards. Julia's father gives Julia 7 more. Tim has 13 apples. How many cards does Julia have?,+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
Katie collects 63 cards. Katie's father gives Katie 7 more. Rachel has 13 apples. How many cards does Katie have?,+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
Emily starts with 63 cards. She gets 7 more from her father. Bruce has 13 apples. How many cards does Emily have in total?,+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
Emily has 63 cards. Her father gives her 7 more. Bruce has 13 apples. How many cards does Emily have now?,+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
"Emily has 63 cards, and then her father gives her 7 more. Bruce has 13 apples. What is the total number of cards Emily has?",+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
"With 63 cards, Emily is given 7 more by her father. Bruce has 13 apples. How many cards does Emily have in total?",+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
Emily begins with 63 cards and receives an additional 7 from her father. Bruce has 13 apples. How many cards does Emily have in total?,+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
Emily has 63 cards and receives 7 more from her father. Bruce has 13 apples and 5 pears. How many cards does Emily have?,+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
Emily starts with 63 cards and gets 7 more from her father. Bruce has 13 apples and 5 pears. How many cards does Emily have?,+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
"If Emily has 63 cards and receives 7 more from her father, how many cards does Emily have in total? Bruce has 13 apples.",+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
"Emily starts with 63 cards and her father gives her 7 more. Bruce has 13 apples, 5 pears, 3 bananas, and 8 oranges. How many cards does Emily have?",+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
James collects 63 cards. James's father gives James 7 more. Emily has 13 apples. How many cards does James have?,+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
"After collecting 63 cards, Emily's father gives Emily 7 more. Bruce has 13 apples. How many cards does Emily have?",+ 63.0 7.0,70.0,"[1, 4, 833, 876, 2]"
"If Emily has 70 cards and her father gives her 7 more, how many cards does Emily start with? Bruce has 13 apples.",- 70.0 7.0,63.0,"[1, 5, 887, 876, 2]"
"A chef needs to cook 15 potatoes . He has already cooked 8 . If each potato takes 9 minutes to cook , how long will it take him to cook the rest ?",* 9.0 - 15.0 8.0,63.0,"[1, 3, 1001, 5, 247, 936, 2]"
"A chef needs to cook 15 carrots. He has already cooked 8. If each carrot takes 9 minutes to cook, how long will it take him to cook the rest?",* 9.0 - 15.0 8.0,63.0,"[1, 3, 1001, 5, 247, 936, 2]"
"A chef needs to cook 15 onions. He has already cooked 8. If each onion takes 9 minutes to cook, how long will it take him to cook the rest?",* 9.0 - 15.0 8.0,63.0,"[1, 3, 1001, 5, 247, 936, 2]"
"A chef needs to cook 15 tomatoes. He has already cooked 8. If each tomato takes 9 minutes to cook, how long will it take him to cook the rest?",* 9.0 - 15.0 8.0,63.0,"[1, 3, 1001, 5, 247, 936, 2]"
"A chef needs to cook 15 peppers. He has already cooked 8. If each pepper takes 9 minutes to cook, how long will it take him to cook the rest?",* 9.0 - 15.0 8.0,63.0,"[1, 3, 1001, 5, 247, 936, 2]"
"A chef needs to cook 15 zucchinis. He has already cooked 8. If each zucchini takes 9 minutes to cook, how long will it take him to cook the rest?",* 9.0 - 15.0 8.0,63.0,"[1, 3, 1001, 5, 247, 936, 2]"
"If a chef needs to cook 15 potatoes and he has already cooked 8, how long will it take him to cook the rest if each potato takes 9 minutes?",* 9.0 - 15.0 8.0,63.0,"[1, 3, 1001, 5, 247, 936, 2]"
A chef has to cook 15 potatoes. He has already cooked 8. What is the time it will take him to cook the rest if each potato takes 9 minutes?,* 9.0 - 15.0 8.0,63.0,"[1, 3, 1001, 5, 247, 936, 2]"
A chef needs to cook 15 potatoes. He has already cooked 8. How many minutes will it take to cook the rest if each potato takes 9 minutes?,* 9.0 - 15.0 8.0,63.0,"[1, 3, 1001, 5, 247, 936, 2]"
"The chef needs to cook 15 potatoes. He has already cooked 8. How long, in minutes, will it take to cook the rest if each potato takes 9 minutes?",* 9.0 - 15.0 8.0,63.0,"[1, 3, 1001, 5, 247, 936, 2]"
A chef has 15 potatoes to cook. He has already cooked 8. How many minutes will it take to cook the rest if each potato takes 9 minutes?,* 9.0 - 15.0 8.0,63.0,"[1, 3, 1001, 5, 247, 936, 2]"
"The chef has to cook 15 potatoes. He has already cooked 8. If each potato takes 9 minutes, how long will it take to cook the rest?",* 9.0 - 15.0 8.0,63.0,"[1, 3, 1001, 5, 247, 936, 2]"
"A chef is cooking 15 potatoes and it takes him 9 minutes per potato. He has already cooked some, and it took him 63 minutes to cook the rest. How many potatoes has he already cooked?",- 15.0 / 63.0 9.0,8.0,"[1, 5, 247, 6, 833, 1001, 2]"
"The chef has 15 potatoes to cook, and it takes him 9 minutes per potato. He has already cooked some of them, and it took him 63 minutes to cook the rest. How many potatoes has he already cooked?",- 15.0 / 63.0 9.0,8.0,"[1, 5, 247, 6, 833, 1001, 2]"
"If a chef takes 9 minutes to cook each of 15 potatoes, and it takes him 63 minutes to finish cooking the rest of them, how many potatoes has he already cooked?",- 15.0 / 63.0 9.0,8.0,"[1, 5, 247, 6, 833, 1001, 2]"
"A chef is cooking potatoes, and it takes him 9 minutes per potato. He has 15 potatoes to cook in total, and it takes him 63 minutes to cook the rest. How many potatoes has he already cooked?",- 15.0 / 63.0 9.0,8.0,"[1, 5, 247, 6, 833, 1001, 2]"
"If a chef needs to cook 15 potatoes and it takes him 63 minutes to cook the rest, how many potatoes has he already cooked if each potato takes 9 minutes?",- 15.0 / 63.0 9.0,8.0,"[1, 5, 247, 6, 833, 1001, 2]"
It takes 4 apples to make 1 pie . How many apples does it take to make 504 pies ?,* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
It takes 4 bananas to make 1 cake. How many bananas does it take to make 504 cakes?,* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
It takes 4 oranges to make 1 smoothie. How many oranges does it take to make 504 smoothies?,* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
It takes 4 cherries to make 1 tart. How many cherries does it take to make 504 tarts?,* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
It takes 4 peaches to make 1 cobbler. How many peaches does it take to make 504 cobblers?,* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
It takes 4 pineapples to make 1 punch. How many pineapples does it take to make 504 punches?,* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
"To make 1 pie, it takes 4 apples. How many apples does it take to make 504 pies?",* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
"Making 1 pie requires 4 apples. To make 504 pies, how many apples are needed?",* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
"The number of apples needed to make 1 pie is 4. To make 504 pies, how many apples are needed?",* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
"One pie requires 4 apples to make. In order to make 504 pies, how many apples are needed?",* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
"For every 1 pie made, 4 apples are used. To make 504 pies, how many apples are needed?",* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
It takes 4 apples to make 1 pie and 15 minutes to bake it. How many apples does it take to make 504 pies?,* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
"It takes 4 apples to make 1 pie, and the recipe calls for 2 tablespoons of sugar. How many apples does it take to make 504 pies?",* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
It takes 4 apples to make 1 pie and the recipe yields 6 servings. How many apples does it take to make 504 pies?,* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
"It takes 4 apples to make 1 pie, and the recipe calls for 1 cup of flour. How many apples does it take to make 504 pies?",* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
"It takes 4 apples to make 1 pie, and the recipe calls for 1 teaspoon of vanilla extract. How many apples does it take to make 504 pies?",* 4.0 504.0,2016.0,"[1, 3, 601, 725, 2]"
"If we need 2016 apples to make some pies and it takes 4 apples to make 1 pie, how many pies can we make?",/ 2016.0 4.0,504.0,"[1, 6, 342, 601, 2]"
